epoca,BCE_fit,PR_AUC_val,modelo
0,1.4343273639678955,0.02738247116206398,3 · PNA solo
1,4.046095371246338,0.0026616950322660886,3 · PNA solo
2,2.496152877807617,0.002443870047009794,3 · PNA solo
3,1.4959890842437744,0.02789393100234783,3 · PNA solo
4,1.4735417366027832,0.004873410913309647,3 · PNA solo
5,1.455718755722046,0.02034912018101044,3 · PNA solo
6,1.332853078842163,0.017957011546889102,3 · PNA solo
7,1.5426547527313232,0.0032054091500232583,3 · PNA solo
8,2.098280191421509,0.010591013991670586,3 · PNA solo
9,1.3879586458206177,0.0446126237261999,3 · PNA solo
10,1.1812490224838257,0.05356378644010604,3 · PNA solo
11,1.2149505615234375,0.05716477614326872,3 · PNA solo
12,1.1666045188903809,0.061311707333760006,3 · PNA solo
13,1.1771295070648193,0.06369841601769644,3 · PNA solo
14,1.0657789707183838,0.060669621791713535,3 · PNA solo
15,1.0487103462219238,0.06686300067507671,3 · PNA solo
16,1.034080982208252,0.06625557040063858,3 · PNA solo
17,1.0298585891723633,0.06818240759805773,3 · PNA solo
18,1.0036474466323853,0.07036643070920497,3 · PNA solo
19,0.9862821102142334,0.061618266406497535,3 · PNA solo
20,0.9590976238250732,0.0619456932381365,3 · PNA solo
21,0.9656903147697449,0.06522460288186457,3 · PNA solo
22,0.9897810816764832,0.07061624496195974,3 · PNA solo
23,0.9817254543304443,0.07405732713006287,3 · PNA solo
24,0.9461101293563843,0.07855396810185382,3 · PNA solo
25,0.9313256144523621,0.07997392775636003,3 · PNA solo
26,0.9088941812515259,0.08441450508843984,3 · PNA solo
27,0.914332926273346,0.08538622276346512,3 · PNA solo
28,0.9022249579429626,0.0853650192917446,3 · PNA solo
29,0.9007746577262878,0.08659752701497127,3 · PNA solo
30,0.8881329298019409,0.08554327669840076,3 · PNA solo
31,0.9461457133293152,0.08386353309617739,3 · PNA solo
32,0.9183450937271118,0.08406413524963315,3 · PNA solo
33,0.8941357135772705,0.08513552686074395,3 · PNA solo
34,0.8756055235862732,0.0868130491485992,3 · PNA solo
35,0.8743106722831726,0.09093058390732606,3 · PNA solo
36,0.8646496534347534,0.09116416628099706,3 · PNA solo
37,0.8811221718788147,0.09083791021259888,3 · PNA solo
38,0.850320041179657,0.08951899472292679,3 · PNA solo
39,0.8359757661819458,0.08895690285003152,3 · PNA solo
40,0.8384314775466919,0.0886755337561831,3 · PNA solo
41,0.845580518245697,0.08929008127590919,3 · PNA solo
42,0.8328300714492798,0.08898373061616013,3 · PNA solo
43,0.837393581867218,0.08921120751730317,3 · PNA solo
44,0.826956570148468,0.09056656257578005,3 · PNA solo
45,0.8329503536224365,0.090339316720434,3 · PNA solo
46,0.8274985551834106,0.09103453601885209,3 · PNA solo
0,1.4366270303726196,0.001843402151973968,4 · PNA híbrido
1,1.630494475364685,0.0025131365886992807,4 · PNA híbrido
2,4.9456915855407715,0.049965550039222296,4 · PNA híbrido
3,2.5967323780059814,0.004225976868667098,4 · PNA híbrido
4,1.470295786857605,0.004852249465869844,4 · PNA híbrido
5,1.4396482706069946,0.006924031956625111,4 · PNA híbrido
6,1.301178216934204,0.035832089104942795,4 · PNA híbrido
7,1.2565982341766357,0.04150467169656059,4 · PNA híbrido
8,1.2129000425338745,0.0369913396543051,4 · PNA híbrido
9,1.2950493097305298,0.04243689067204079,4 · PNA híbrido
10,1.301849603652954,0.05190717125733902,4 · PNA híbrido
11,1.1908661127090454,0.05948102119248705,4 · PNA híbrido
12,1.2322829961776733,0.058171095102001205,4 · PNA híbrido
13,1.100969672203064,0.0450801931435517,4 · PNA híbrido
14,1.155640959739685,0.061513520505346087,4 · PNA híbrido
15,1.095526099205017,0.06771258477760402,4 · PNA híbrido
16,1.078026294708252,0.05631803028686083,4 · PNA híbrido
17,1.1094300746917725,0.06425282469538007,4 · PNA híbrido
18,1.0941319465637207,0.08254872849734189,4 · PNA híbrido
19,1.048437237739563,0.07889103557150846,4 · PNA híbrido
20,1.0209296941757202,0.0757655178112486,4 · PNA híbrido
21,1.0234872102737427,0.08678807463695956,4 · PNA híbrido
22,1.0235934257507324,0.0877422394672412,4 · PNA híbrido
23,1.0271241664886475,0.08013187019581308,4 · PNA híbrido
24,0.9945276975631714,0.07405712381148065,4 · PNA híbrido
25,0.9986674189567566,0.09233726290685774,4 · PNA híbrido
26,0.9733161330223083,0.09557702747784289,4 · PNA híbrido
27,0.981307327747345,0.09568367644979969,4 · PNA híbrido
28,1.0687326192855835,0.09668767822025531,4 · PNA híbrido
29,1.009017825126648,0.09320511528934504,4 · PNA híbrido
30,1.0580718517303467,0.09345149192391079,4 · PNA híbrido
31,1.039268136024475,0.09192115388006462,4 · PNA híbrido
32,0.9706116914749146,0.08017276563920182,4 · PNA híbrido
33,0.9880127310752869,0.07721404049694329,4 · PNA híbrido
34,1.002790927886963,0.07897329934221438,4 · PNA híbrido
35,0.9304032325744629,0.0786363912360373,4 · PNA híbrido
36,0.9178439974784851,0.07928966584077905,4 · PNA híbrido
37,0.9120597243309021,0.07853478470301979,4 · PNA híbrido
38,0.8980762362480164,0.08081945673363432,4 · PNA híbrido
